Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_strong;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_vice;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_male;Semantic_GI_female;Semantic_GI_hu;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_fall;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powtot;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_enlends;Semantic_GI_enltot;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_if;Stylistic_CapitalLetters_cfcl
L012-81;Q1;L012-81;2.891818181818182;2.43;1.8734489473684195;1.4867757894736846;1.4957894736842097;-1;1.0;1.0;0.5;0.5;0.5;0.0571428571428571;2;107;50;6;9;0;3;2;8;1;0;0;0;2;17;0;17;0;17;1;0;0;0;21;0;0;0;0;19;19;0;0;0;0;66;0;0;0;5;0;0;4;0;0;0;0;0;0;0;1;0;0;4;19;0;29;1;4;11;0;0;7;34;0;0;0;15;0;6;0;0;0;8;43;0;0;0;0;0;17;17;0;4;0;6;1;17;0;18;0;35;0;0;17;1;0;0;66;3;0;0;7;0;0;0;4;0;2;8;50
L013-159;Q3;L013-159;2.427142857142857;1.962857142857143;1.887358333333333;1.6439814102564103;1.4730769230769225;-1;1.0;1.0;1.0;0.9;0.7;0.09;15;24;17;5;1;2;6;7;2;1;2;0;0;9;0;0;0;0;0;2;0;3;0;3;0;0;0;0;0;5;0;0;5;2;15;1;3;0;0;1;0;0;9;9;0;0;0;1;1;2;0;22;0;5;1;17;1;15;25;4;9;26;16;4;3;17;16;0;14;0;0;2;8;26;0;0;1;1;2;0;4;0;3;0;13;0;0;2;2;0;4;0;3;1;2;2;6;25;1;0;0;12;0;23;0;1;5;1;2;35
L014-137;Q4;L014-137;2.3484615384615384;1.760769230769231;1.9148907216494853;1.667274226804123;1.4556701030927843;-1;1.0;1.0;0.1;0.0777777777777777;0.0666666666666666;0.18;18;15;19;14;0;4;0;4;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;6;0;3;0;2;4;2;0;0;6;0;0;0;2;0;2;0;0;0;2;4;23;6;2;0;10;16;2;0;6;9;1;8;0;0;0;0;16;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;6;0;0;2;4;0;2;4;1;0;6;13;0;2;0;2;0;0;0;20
L015-160;Q3;L015-160;2.364;2.211428571428572;1.957633812949641;1.7615151079136675;1.5683453237410074;-1;0.6;1.0;0.125;0.2571428571428571;0.125;0.027027027027027;2;15;32;4;7;0;12;0;0;0;0;0;0;2;0;0;0;0;0;13;0;0;0;0;0;0;0;0;9;2;0;0;0;0;2;0;0;2;1;7;0;1;0;28;0;3;3;3;3;2;9;4;2;9;1;15;4;5;8;1;0;15;45;0;0;1;8;0;47;0;2;4;3;35;0;0;0;0;7;0;9;0;0;0;3;0;0;0;0;0;5;0;0;0;0;0;0;15;0;0;0;0;0;19;0;1;0;1;0;26
L016-77;Q3;L016-77;2.242105263157895;2.143684210526316;1.9771938053097349;1.8460061946902668;1.7823008849557511;-1;1.0;0.5;1.0;0.18;0.14;0.12;28;30;30;10;13;2;21;9;2;4;2;0;0;10;0;4;6;0;2;5;8;1;2;8;2;0;0;1;0;1;1;0;0;10;35;0;0;10;2;1;1;0;0;2;0;2;0;0;3;1;0;2;0;8;2;6;2;20;37;5;0;10;7;1;0;4;16;1;6;0;0;40;11;0;0;0;1;5;1;0;15;0;1;0;12;2;0;0;2;2;3;0;4;0;2;4;0;16;2;0;19;3;0;1;0;0;4;2;2;38
L017-133;Q2;L017-133;1.662857142857143;2.4885714285714293;1.7542448000000006;1.6830720000000008;1.7039999999999986;-1;0.36;1.0;1.0;1.0;1.0;0.0738461538461538;56;5;28;18;5;0;9;25;0;0;4;0;3;4;0;3;2;7;7;2;2;4;1;11;6;0;0;2;0;5;0;3;0;2;17;1;0;0;2;2;5;8;0;4;2;5;3;2;3;4;2;3;1;3;0;4;1;9;20;3;6;26;29;1;0;1;10;0;18;0;0;24;8;11;1;1;1;0;0;1;12;0;0;2;2;0;0;2;2;0;2;2;0;12;3;0;0;12;2;0;8;6;0;1;0;1;7;0;1;42
L018-109;Q1;L018-109;1.565;2.4650000000000003;1.9014121145374456;1.709057488986785;1.5140969162995603;1;1.0;1.0;1.0;0.3085714285714285;0.25;0.1285714285714285;34;58;68;19;27;1;55;12;3;0;8;4;0;3;2;0;2;1;2;27;0;13;2;7;0;0;0;0;0;5;0;0;1;0;27;1;18;10;8;1;3;1;1;4;0;3;0;0;4;20;4;27;0;10;2;38;23;18;55;2;6;43;55;0;1;26;23;1;105;1;1;5;12;60;0;20;0;4;2;0;41;0;0;0;13;2;0;0;2;2;3;0;10;0;1;0;1;29;0;5;6;18;1;13;1;2;10;26;21;71
L020-162;Q3;L020-162;1.914;2.012;1.9156197916666668;1.6502812500000008;1.6812499999999997;1;0.2666666666666666;0.3;0.15;0.15;0.15;0.027027027027027;13;12;24;5;0;1;6;4;0;2;6;0;2;1;2;10;12;1;11;1;0;0;0;13;2;2;0;0;2;5;1;0;0;4;18;0;0;0;2;0;1;2;0;2;0;2;0;0;0;3;0;2;1;11;1;3;1;11;35;0;0;9;20;0;0;3;8;1;7;0;0;1;1;6;0;2;1;2;0;2;16;1;4;0;5;0;2;3;5;0;0;0;2;8;2;1;0;15;1;0;0;12;1;1;0;0;0;2;0;23
L021-101;Q2;L021-101;1.7236842105263166;2.2836842105263155;1.7913426020408167;1.6978846938775494;1.715306122448979;-1;1.0;1.0;1.0;1.0;1.0;0.225;93;36;111;25;4;4;11;33;3;1;6;1;5;9;3;4;5;2;6;21;6;1;1;11;4;0;0;0;0;25;5;6;3;22;22;0;9;2;9;2;13;16;6;4;0;4;6;2;22;6;0;5;5;2;1;5;9;21;40;2;3;27;59;2;7;4;17;1;66;0;6;6;7;26;1;1;8;18;0;3;49;1;5;1;11;1;1;3;5;2;1;0;9;36;6;0;0;13;13;4;9;27;1;16;0;1;12;12;6;73
L022-121;Q1;L022-121;2.1527272727272724;1.5590909090909089;2.036551898734176;1.8036658227848088;1.6320675105485227;-1;0.8;0.8;0.9;0.9;0.7;0.027027027027027;25;81;85;13;8;1;17;5;1;0;6;0;2;9;0;0;9;1;0;17;0;9;5;17;2;7;4;0;0;6;0;0;0;0;21;2;6;0;26;0;1;38;0;0;0;2;0;3;0;4;0;11;3;11;3;17;8;16;24;0;6;41;22;5;5;4;18;3;12;6;13;8;20;19;0;16;4;0;0;0;39;0;3;1;9;1;0;4;5;12;0;0;2;36;1;0;0;27;5;3;1;10;10;8;3;10;1;12;14;43
L024-142;Q4;L024-142;2.88;2.0;1.8848150000000008;1.5697887500000007;1.5725000000000002;-1;0.2666666666666666;0.3333333333333333;0.7;0.8;0.7;1.0;2;8;18;3;1;0;15;0;0;0;0;0;2;2;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;4;0;1;0;2;10;3;1;2;5;1;2;2;0;3;0;5;0;1;2;1;0;5;0;3;1;3;3;0;8;0;5;9;11;0;0;3;7;2;10;0;5;1;4;2;0;3;2;0;0;0;11;0;1;0;3;0;0;2;2;0;0;0;0;1;4;0;1;19;0;0;0;4;0;0;0;0;0;1;3;28
L025-86;Q4;L025-86;2.3766666666666665;2.2566666666666664;1.908118947368422;1.7004768421052636;1.5115789473684214;-1;0.5;1.0;0.5;0.5;0.5;0.1285714285714285;26;38;39;2;1;0;14;5;0;0;3;0;2;10;0;0;1;0;0;10;2;0;0;1;0;1;0;1;0;6;2;0;1;0;6;1;0;1;21;1;1;9;1;7;0;0;0;2;3;4;0;1;3;2;1;10;6;2;19;2;6;24;15;0;0;6;0;8;2;0;8;9;8;19;0;0;0;0;7;0;14;0;3;2;13;3;0;0;3;0;1;0;0;9;0;0;2;7;4;0;1;12;0;6;2;1;5;2;10;38
L026-97;Q2;L026-97;1.606666666666667;2.5050000000000003;1.8291036697247711;1.6590412844036695;1.5669724770642206;-1;0.5;1.0;1.0;0.8;0.45;0.0615384615384615;17;19;37;6;1;3;4;4;2;0;3;2;0;3;0;0;0;3;0;8;5;0;0;2;1;0;3;0;0;1;1;0;0;3;12;0;2;1;7;1;3;7;7;2;1;2;0;0;2;4;0;9;0;3;3;7;0;5;6;1;3;3;20;0;0;3;6;0;8;0;0;3;6;13;2;3;0;5;0;0;9;2;3;2;12;2;1;5;8;0;0;1;0;5;0;0;7;20;0;0;2;12;0;0;0;0;2;3;0;36
L027-153;Q4;L027-153;2.68125;2.4087500000000004;1.9692592857142848;1.6744571428571435;1.5257142857142856;-1;1.0;1.0;0.5;0.5;0.5;0.0714285714285714;12;43;45;1;2;0;8;0;0;8;1;0;0;4;2;0;2;2;3;0;3;0;0;3;1;0;1;0;2;4;0;2;0;2;36;0;0;1;4;2;1;1;3;0;1;0;0;0;12;0;0;14;0;0;0;14;6;0;21;0;0;13;21;0;0;3;0;6;21;0;0;8;11;37;0;3;1;8;0;2;23;0;0;2;4;0;2;1;3;0;5;0;0;2;0;0;3;27;6;5;0;5;1;1;1;0;0;15;0;21
L028-150;Q3;L028-150;2.364;2.211428571428572;2.0036543478260858;1.8126923913043484;1.8347826086956511;-1;0.3;0.1666666666666666;0.0909090909090909;0.2142857142857142;0.0;0.1666666666666666;31;19;39;8;6;0;0;10;0;1;3;2;0;1;0;0;1;0;0;16;24;0;0;0;12;0;0;1;0;3;0;0;0;0;10;2;0;0;1;4;1;14;0;30;0;0;3;1;3;2;3;1;0;4;0;3;0;0;12;0;0;17;9;0;0;2;0;0;53;1;0;12;4;1;0;0;0;2;4;0;21;0;1;0;5;1;1;1;3;0;12;0;2;0;0;0;0;9;1;2;2;2;0;28;0;0;9;0;0;40
L030-166;Q2;L030-166;1.5347368421052627;2.0921052631578942;1.6857951724137925;1.7473662068965516;1.7324137931034482;-1;1.0;1.0;1.0;1.0;1.0;0.0888888888888888;29;29;22;14;0;0;4;9;0;0;1;0;5;1;0;0;1;0;0;3;0;0;0;2;0;0;1;0;1;8;0;2;0;1;14;0;0;0;2;2;1;3;2;0;0;5;5;4;1;0;0;11;0;3;8;3;0;4;23;2;6;12;28;1;1;2;14;0;22;0;0;3;6;9;3;1;0;0;0;0;2;0;8;0;20;8;0;2;10;0;0;0;2;6;0;0;0;5;4;2;1;4;0;4;0;0;5;12;4;50
L031-139;Q4;L031-139;2.481666666666667;2.058333333333333;2.006841573033708;1.772059550561797;1.7191011235955056;1;1.0;0.45;0.225;0.225;0.225;0.1125;1;25;6;3;0;0;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;18;2;4;0;0;0;0;0;1;0;0;0;1;5;1;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;4;0;7;0;1;0;3;8;0;1;15;4;0;2;1;9;0;0;0;1;2;1;5;0;0;1;1;0;0;2;0;0;0;4;0;1;0;1;0;4;0;0;2;0;0;0;8;2;4;0;1;0;0;0;2;0;5;1;23
L032-98;Q2;L032-98;1.48;2.19;1.7882803921568626;1.7078509803921569;1.7385620915032682;-1;0.8571428571428571;1.0;0.3;1.0;0.1111111111111111;0.1285714285714285;39;8;31;23;10;7;7;6;0;0;2;0;0;4;0;3;9;3;3;7;2;0;0;10;2;0;3;0;0;3;0;0;1;4;7;1;0;1;3;0;6;13;1;0;1;6;1;0;2;2;0;4;0;4;0;3;1;3;16;0;9;14;48;0;0;5;22;0;0;0;0;5;4;18;2;5;3;7;1;0;28;2;1;0;5;0;1;1;2;0;0;0;3;11;1;0;0;11;1;1;4;11;1;2;2;0;1;0;1;31
L033-72;Q3;L033-72;2.0463636363636364;1.679090909090909;1.85192196531792;1.6206601156069362;1.5815028901734096;1;1.0;1.0;0.5;0.5;0.5;0.16;47;26;41;19;8;13;6;10;0;2;8;2;0;1;0;2;3;5;0;5;0;0;0;5;4;0;0;0;1;7;1;0;0;1;4;0;4;6;7;4;3;0;0;2;0;4;0;0;2;1;0;6;0;4;0;15;6;12;22;4;6;31;24;2;0;5;5;0;26;0;1;5;3;21;0;3;2;3;1;0;10;0;2;0;3;0;0;0;0;0;0;9;8;8;3;0;4;15;2;0;5;13;0;13;0;0;4;3;6;39
L034-79;Q3;L034-79;1.4900000000000002;1.6891666666666667;1.7986706666666663;1.6103853333333331;1.514666666666666;1;1.0;1.0;1.0;0.5;0.5;0.0;21;37;26;21;0;8;7;1;0;0;1;0;0;22;0;1;2;0;0;2;0;0;1;2;0;0;0;1;0;0;0;0;0;2;4;1;6;4;5;0;1;2;0;0;8;2;0;0;2;0;3;9;0;0;16;8;4;0;34;1;2;35;21;0;0;7;10;3;8;0;1;2;7;27;0;0;1;1;6;0;12;0;0;0;29;0;0;2;2;0;13;1;0;3;0;0;1;9;1;4;4;4;0;3;0;0;3;1;6;32
L035-134;Q4;L035-134;2.8825;2.2775000000000003;1.990018897637797;1.692260629921261;1.5937007874015745;-1;0.2666666666666666;1.0;0.5;0.5;0.5;0.0;11;56;25;17;0;1;6;6;1;0;0;0;3;13;0;0;3;0;1;10;5;0;0;2;0;0;0;0;1;16;5;1;0;2;13;3;9;1;6;0;2;1;0;2;0;6;2;1;3;3;0;5;0;16;0;11;2;6;15;0;6;22;15;0;6;10;11;0;21;0;0;0;6;22;0;1;4;0;0;1;16;0;0;0;12;0;0;0;0;0;4;5;1;0;3;0;0;30;4;0;4;8;0;11;0;0;0;3;5;31
L036-118;Q1;L036-118;2.661875;1.841875;1.82395359477124;1.8014692810457529;1.6379084967320268;-1;1.0;0.6;0.0909090909090909;0.2142857142857142;0.0888888888888888;0.0714285714285714;20;45;13;14;1;0;2;0;0;0;17;2;0;6;2;0;0;0;0;32;0;0;2;20;2;0;0;0;0;8;0;0;0;0;25;0;0;0;4;0;2;0;0;43;0;0;0;23;29;0;0;3;0;4;0;16;0;4;14;0;0;14;25;0;4;1;6;0;26;0;1;0;18;11;0;0;0;2;0;0;2;0;0;0;6;0;0;12;12;0;9;0;0;6;0;18;0;34;8;0;2;29;0;0;0;2;0;8;6;29
L037-169;Q2;L037-169;1.6970000000000005;2.458;1.8214869767441868;1.7102269767441851;1.747906976744185;-1;1.0;1.0;1.0;1.0;0.5;0.016;51;29;60;12;7;3;0;6;0;0;5;0;10;1;8;6;1;6;1;6;4;1;0;11;0;0;0;0;0;18;2;0;4;8;17;0;3;1;7;3;1;8;3;6;1;3;1;1;7;1;0;4;0;2;1;6;11;4;19;7;14;18;14;0;1;0;4;4;8;0;3;1;4;3;1;1;3;6;3;1;16;3;1;3;10;1;1;2;4;1;4;2;1;22;1;1;0;9;8;1;12;6;0;7;0;2;0;8;2;46
L038-102;Q1;L038-102;2.3575;2.27875;1.898079375;1.675878125000001;1.7;-1;0.2666666666666666;1.0;0.5;0.5;0.5;0.0;24;32;35;11;3;5;8;5;1;0;12;1;0;7;9;3;9;0;2;6;0;4;37;18;4;2;0;0;0;13;4;0;0;2;6;3;4;4;3;0;1;1;0;1;0;0;0;0;0;0;0;14;0;2;0;8;2;10;13;0;5;23;19;3;9;0;8;0;6;2;0;4;9;29;0;0;0;12;0;2;24;0;0;0;6;0;0;3;3;4;6;0;2;4;1;0;2;20;0;2;0;3;0;5;4;8;5;3;4;45
L040-132;Q2;L040-132;1.1571428571428568;2.523571428571429;1.8083503816793896;1.6756167938931308;1.4534351145038156;-1;1.0;1.0;0.3;1.0;0.2;0.2;25;21;29;12;1;1;0;8;0;0;1;0;0;3;10;10;6;1;3;2;2;2;0;9;0;1;2;0;0;0;0;0;0;0;9;4;0;2;16;2;10;4;3;5;0;0;0;0;8;2;0;9;1;2;3;5;5;2;13;3;7;27;7;0;0;3;4;2;0;0;1;11;9;14;0;2;4;15;1;0;32;0;0;1;9;3;3;3;9;3;0;0;2;0;0;0;0;13;0;12;4;6;0;1;0;2;2;7;3;49
