Music;Quadrant;Id;Semantic_Gazeteers_AvgValence;Semantic_Gazeteers_AvgArousal;Semantic_DAL_ANEW_AvgValence;Semantic_DAL_ANEW_AvgArousal;Semantic_DAL_ANEW_AvgDominance;Semantic_Synesktech_Valence;Semantic_Synesktech_HappinessWeight;Semantic_Synesktech_SadnessWeight;Semantic_Synesktech_AngerWeight;Semantic_Synesktech_FearWeight;Semantic_Synesktech_DisgustWeight;Semantic_Synesktech_SurpriseWeight;Semantic_GI_positiv;Semantic_GI_negativ;Semantic_GI_pstv;Semantic_GI_affil;Semantic_GI_ngtv;Semantic_GI_hostile;Semantic_GI_strong;Semantic_GI_power;Semantic_GI_weak;Semantic_GI_submit;Semantic_GI_active;Semantic_GI_passive;Semantic_GI_pleasur;Semantic_GI_pain;Semantic_GI_arousal;Semantic_GI_emot;Semantic_GI_virtue;Semantic_GI_vice;Semantic_GI_ovrst;Semantic_GI_undrst;Semantic_GI_academ;Semantic_GI_doctrin;Semantic_GI_econ@;Semantic_GI_exch;Semantic_GI_econ;Semantic_GI_exprsv;Semantic_GI_legal;Semantic_GI_milit;Semantic_GI_polit@;Semantic_GI_polit;Semantic_GI_relig;Semantic_GI_role;Semantic_GI_coll;Semantic_GI_work;Semantic_GI_ritual;Semantic_GI_socrel;Semantic_GI_male;Semantic_GI_female;Semantic_GI_nonadlt;Semantic_GI_hu;Semantic_GI_place;Semantic_GI_social;Semantic_GI_region;Semantic_GI_route;Semantic_GI_land;Semantic_GI_sky;Semantic_GI_object;Semantic_GI_tool;Semantic_GI_food;Semantic_GI_comnobj;Semantic_GI_natobj;Semantic_GI_bodypt;Semantic_GI_comform;Semantic_GI_com;Semantic_GI_say;Semantic_GI_need;Semantic_GI_goal;Semantic_GI_try;Semantic_GI_means;Semantic_GI_persist;Semantic_GI_complet;Semantic_GI_fail;Semantic_GI_natrpro;Semantic_GI_begin;Semantic_GI_vary;Semantic_GI_increas;Semantic_GI_finish;Semantic_GI_stay;Semantic_GI_rise;Semantic_GI_exert;Semantic_GI_fetch;Semantic_GI_travel;Semantic_GI_fall;Semantic_GI_know;Semantic_GI_causal;Semantic_GI_ought;Semantic_GI_perceiv;Semantic_GI_compare;Semantic_GI_eval;Semantic_GI_solve;Semantic_GI_abs@;Semantic_GI_abs;Semantic_GI_quality;Semantic_GI_quan;Semantic_GI_numb;Semantic_GI_card;Semantic_GI_freq;Semantic_GI_time@;Semantic_GI_time;Semantic_GI_space;Semantic_GI_pos;Semantic_GI_dim;Semantic_GI_rel;Semantic_GI_self;Semantic_GI_our;Semantic_GI_you;Semantic_GI_name;Semantic_GI_yes;Semantic_GI_no;Semantic_GI_negate;Semantic_GI_intrj;Semantic_GI_iav;Semantic_GI_dav;Semantic_GI_sv;Semantic_GI_indadj;Semantic_GI_powgain;Semantic_GI_powloss;Semantic_GI_powcon;Semantic_GI_powcoop;Semantic_GI_powaupt;Semantic_GI_powoth;Semantic_GI_powtot;Semantic_GI_rcethic;Semantic_GI_rcrelig;Semantic_GI_rcgain;Semantic_GI_rcends;Semantic_GI_rctot;Semantic_GI_rspgain;Semantic_GI_rsploss;Semantic_GI_rspoth;Semantic_GI_rsptot;Semantic_GI_affgain;Semantic_GI_affpt;Semantic_GI_affoth;Semantic_GI_afftot;Semantic_GI_wltoth;Semantic_GI_wlttot;Semantic_GI_wlbgain;Semantic_GI_wlbloss;Semantic_GI_wlbphys;Semantic_GI_wlbpsyc;Semantic_GI_wlbpt;Semantic_GI_wlbtot;Semantic_GI_enlgain;Semantic_GI_enlends;Semantic_GI_enloth;Semantic_GI_enltot;Semantic_GI_skloth;Semantic_GI_skltot;Semantic_GI_trngain;Semantic_GI_trnloss;Semantic_GI_tranlw;Semantic_GI_meanslw;Semantic_GI_endslw;Semantic_GI_arenalw;Semantic_GI_ptlw;Semantic_GI_negaff;Semantic_GI_posaff;Semantic_GI_surelw;Semantic_GI_if;Semantic_GI_notlw;Semantic_GI_timespc;Semantic_GI_formlw;Stylistic_WordsDictionary_Count;Stylistic_CapitalLetters_cfcl
L012-81;Q1;L012-81;2.891818181818182;2.43;1.8734489473684195;1.4867757894736846;1.4957894736842097;-1;1.0;1.0;0.5;0.5;0.5;0.0571428571428571;107;2;107;104;2;0;50;3;6;9;40;116;51;0;3;52;23;2;16;18;8;1;0;0;0;0;2;17;0;17;0;4;17;1;0;63;0;0;0;21;20;0;0;0;0;19;19;19;0;0;0;0;66;40;0;0;0;3;5;0;1;0;4;0;0;0;0;0;0;0;1;0;0;18;0;4;19;0;15;29;1;3;4;11;0;0;0;7;1;34;0;0;0;15;0;6;0;0;0;0;8;72;13;43;0;0;0;0;0;17;0;17;2;0;4;0;6;1;17;0;18;68;0;35;103;0;0;0;0;17;1;0;18;18;0;48;66;3;3;0;0;7;0;0;0;4;0;2;4;8;0;14;38;65;50
L013-159;Q3;L013-159;2.427142857142857;1.962857142857143;1.887358333333333;1.6439814102564103;1.4730769230769225;-1;1.0;1.0;1.0;0.9;0.7;0.09;24;15;24;14;15;11;17;14;5;1;47;60;3;2;6;8;11;7;28;11;2;1;2;0;1;0;9;0;0;0;0;3;0;2;0;18;3;0;1;3;0;0;0;0;0;0;5;0;0;0;5;2;15;6;1;3;0;2;0;1;1;0;0;9;9;0;0;0;1;1;2;19;0;18;22;0;5;1;3;17;1;3;15;25;4;0;9;26;2;16;4;3;17;16;0;14;0;0;0;2;8;49;21;26;0;0;1;1;2;0;0;4;10;0;3;0;13;0;0;2;2;5;0;4;9;0;0;0;3;1;2;2;8;5;6;14;25;1;1;0;0;12;0;23;0;1;5;1;11;2;2;50;10;42;35
L014-137;Q4;L014-137;2.3484615384615384;1.760769230769231;1.9148907216494853;1.667274226804123;1.4556701030927843;-1;1.0;1.0;0.1;0.0777777777777777;0.0666666666666666;0.18;15;18;15;17;18;2;19;11;14;0;17;49;6;4;0;8;1;4;6;6;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;13;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;6;0;0;6;0;0;3;0;2;2;4;2;0;0;6;0;0;0;2;0;0;2;2;0;0;0;5;2;4;4;23;6;2;0;0;10;0;16;2;0;6;9;1;8;0;0;0;0;0;12;13;16;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;8;0;6;14;0;0;0;0;2;4;0;6;0;2;2;4;0;1;0;6;13;0;2;0;2;0;0;0;0;0;18;4;27;20
L015-160;Q3;L015-160;2.364;2.211428571428572;1.957633812949641;1.7615151079136675;1.5683453237410074;-1;0.6;1.0;0.125;0.2571428571428571;0.125;0.027027027027027;15;2;15;21;2;6;32;0;4;7;58;27;0;0;12;6;13;0;14;2;0;0;0;0;0;0;2;0;0;0;0;0;0;13;0;13;0;0;0;0;9;0;0;0;0;9;2;2;0;0;0;0;2;2;0;0;2;9;1;7;5;0;1;0;28;0;3;3;3;3;2;19;9;0;4;2;9;1;0;15;4;4;5;8;1;1;0;15;0;45;0;0;1;8;0;47;0;2;1;4;3;77;51;35;0;0;0;0;7;0;2;9;3;0;0;0;3;0;0;0;0;1;0;5;7;1;1;0;0;0;0;0;0;9;0;6;15;0;0;0;0;0;0;19;0;1;0;1;6;0;5;59;1;109;26
L016-77;Q3;L016-77;2.242105263157895;2.143684210526316;1.9771938053097349;1.8460061946902668;1.7823008849557511;-1;1.0;0.5;1.0;0.18;0.14;0.12;30;28;30;17;28;33;30;8;10;13;26;11;0;2;21;1;18;9;18;23;2;4;2;0;0;0;10;0;4;6;0;6;2;5;8;15;1;2;2;8;3;2;0;0;1;0;1;0;1;0;0;10;35;22;0;0;10;5;2;1;0;1;0;0;2;0;2;0;0;3;1;2;0;9;2;0;8;2;17;6;2;2;20;37;5;4;0;10;0;7;1;0;4;16;1;6;0;0;11;40;11;38;14;0;0;0;1;5;1;0;8;15;11;0;1;0;12;2;0;0;2;10;2;3;15;0;0;0;4;0;2;4;10;1;0;15;16;2;2;0;19;3;0;1;0;0;4;2;8;2;50;16;25;45;38
L017-133;Q2;L017-133;1.662857142857143;2.4885714285714293;1.7542448000000006;1.6830720000000008;1.7039999999999986;-1;0.36;1.0;1.0;1.0;1.0;0.0738461538461538;5;56;5;5;54;28;28;8;18;5;46;27;2;0;9;1;2;25;33;8;0;0;4;0;0;3;4;0;3;2;7;4;7;2;2;21;4;1;0;11;8;6;0;0;2;0;5;2;0;3;0;2;17;9;1;0;0;4;2;2;3;5;8;0;4;2;5;3;2;3;4;11;2;13;3;1;3;0;24;4;1;6;9;20;3;1;6;26;4;29;1;0;1;10;0;18;0;0;6;24;8;71;19;11;1;1;1;0;0;1;8;12;0;0;0;2;2;0;0;2;2;0;0;2;3;0;0;2;0;12;3;0;17;3;0;9;12;2;2;0;8;6;0;1;0;1;7;0;5;1;30;35;12;61;42
L018-109;Q1;L018-109;1.565;2.4650000000000003;1.9014121145374456;1.709057488986785;1.5140969162995603;1;1.0;1.0;1.0;0.3085714285714285;0.25;0.1285714285714285;58;34;58;56;34;39;68;2;19;27;153;121;3;1;55;30;9;12;60;37;3;0;8;4;4;0;3;2;0;2;1;5;2;27;0;37;13;2;1;7;0;0;0;0;0;0;5;4;0;0;1;0;27;6;1;18;10;1;8;1;20;3;1;1;4;0;3;0;0;4;20;22;4;4;27;0;10;2;2;38;23;23;18;55;2;2;6;43;0;55;0;1;26;23;1;105;1;1;1;5;12;165;60;60;0;20;0;4;2;0;15;41;13;0;0;0;13;2;0;0;2;25;2;3;31;5;5;0;10;0;1;0;11;10;1;18;29;0;0;5;6;18;1;13;1;2;10;26;58;21;6;34;5;349;71
L020-162;Q3;L020-162;1.914;2.012;1.9156197916666668;1.6502812500000008;1.6812499999999997;1;0.2666666666666666;0.3;0.15;0.15;0.15;0.027027027027027;12;13;12;7;13;10;24;2;5;0;21;22;0;1;6;3;7;4;20;10;0;2;6;0;3;2;1;2;10;12;1;2;11;1;0;9;0;0;0;13;7;2;2;0;0;2;5;2;1;0;0;4;18;7;0;0;0;2;2;0;1;1;2;0;2;0;2;0;0;0;3;9;0;2;2;1;11;1;7;3;1;1;11;35;0;0;0;9;0;20;0;0;3;8;1;7;0;0;0;1;1;29;23;6;0;2;1;2;0;2;0;16;0;1;4;0;5;0;2;3;5;1;0;0;1;1;1;0;2;8;2;1;13;10;0;5;15;0;1;0;0;12;1;1;0;0;0;2;12;0;1;17;12;49;23
L021-101;Q2;L021-101;1.7236842105263166;2.2836842105263155;1.7913426020408167;1.6978846938775494;1.715306122448979;-1;1.0;1.0;1.0;1.0;1.0;0.225;30;93;36;16;79;47;111;31;25;4;102;58;0;4;11;5;28;33;39;16;3;1;6;1;6;5;9;3;4;5;2;5;6;21;6;42;1;1;1;11;4;4;0;0;0;0;25;8;5;6;3;22;22;11;0;9;2;8;9;2;7;13;16;6;4;0;4;6;2;22;6;14;0;5;5;5;2;1;20;5;9;12;21;40;2;0;3;27;2;59;2;7;4;17;1;66;0;6;1;6;7;128;49;26;1;1;8;18;0;3;15;49;4;1;5;1;11;1;1;3;5;3;2;1;6;3;4;0;9;36;6;0;51;2;0;10;13;12;13;4;9;27;1;16;0;1;12;12;20;6;7;40;11;236;73
L022-121;Q1;L022-121;2.1527272727272724;1.5590909090909089;2.036551898734176;1.8036658227848088;1.6320675105485227;-1;0.8;0.8;0.9;0.9;0.7;0.027027027027027;75;25;81;34;25;19;85;18;13;8;114;36;0;1;17;6;28;5;25;24;1;0;6;0;10;2;9;0;0;9;1;17;0;17;0;37;9;5;0;17;13;2;7;4;0;0;6;6;0;0;0;0;21;13;2;6;0;13;26;0;4;1;38;0;0;0;2;0;3;0;4;21;0;12;11;3;11;3;3;17;8;22;16;24;0;0;6;41;14;22;5;5;4;18;3;12;6;13;2;8;20;105;21;19;0;16;4;0;0;0;19;39;5;0;3;1;9;1;0;4;5;0;12;0;12;0;0;0;2;36;1;0;39;13;0;14;27;3;5;3;1;10;10;8;3;10;1;12;15;14;10;20;13;103;43
L024-142;Q4;L024-142;2.88;2.0;1.8848150000000008;1.5697887500000007;1.5725000000000002;-1;0.2666666666666666;0.3333333333333333;0.7;0.8;0.7;1.0;7;2;8;9;2;2;18;8;3;1;40;10;0;0;15;5;8;0;24;11;0;0;0;0;0;2;2;0;0;1;0;0;0;2;1;15;0;0;0;0;1;0;0;1;0;0;4;3;0;1;0;2;10;1;3;1;2;1;5;1;2;2;2;0;3;0;5;0;1;2;1;2;0;3;5;0;3;1;1;3;3;6;0;8;0;0;5;9;3;11;0;0;3;7;2;10;0;5;0;1;4;43;9;2;0;3;2;0;0;0;5;11;2;0;1;0;3;0;0;2;2;2;0;0;2;1;1;0;0;1;4;0;5;9;1;9;19;0;0;0;0;4;0;0;0;0;0;1;11;3;1;15;5;35;28
L025-86;Q4;L025-86;2.3766666666666665;2.2566666666666664;1.908118947368422;1.7004768421052636;1.5115789473684214;-1;0.5;1.0;0.5;0.5;0.5;0.1285714285714285;32;26;38;13;28;17;39;15;2;1;70;14;0;0;14;2;22;5;16;15;0;0;3;0;2;2;10;0;0;1;0;1;0;10;2;23;0;0;0;1;2;0;1;0;1;0;6;3;2;0;1;0;6;3;1;0;1;13;21;1;10;1;9;1;7;0;0;0;2;3;4;10;0;5;1;3;2;1;10;10;6;9;2;19;2;2;6;24;3;15;0;0;6;0;8;2;0;8;4;9;8;94;11;19;0;0;0;0;7;0;7;14;8;0;3;2;13;3;0;0;3;2;0;1;3;1;1;0;0;9;0;0;9;1;2;4;7;3;4;0;1;12;0;6;2;1;5;2;16;10;11;24;3;39;38
L026-97;Q2;L026-97;1.606666666666667;2.5050000000000003;1.8291036697247711;1.6590412844036695;1.5669724770642206;-1;0.5;1.0;1.0;0.8;0.45;0.0615384615384615;20;17;19;8;14;10;37;16;6;1;51;14;1;3;4;6;11;4;9;7;2;0;3;2;4;0;3;0;0;0;3;2;0;8;5;23;0;0;0;2;4;1;0;3;0;0;1;0;1;0;0;3;12;0;0;2;1;4;7;1;2;3;7;7;2;1;2;0;0;2;4;3;0;0;9;0;3;3;4;7;0;0;5;6;1;1;3;3;0;20;0;0;3;6;0;8;0;0;0;3;6;66;14;13;2;3;0;5;0;0;1;9;5;2;3;2;12;2;1;5;8;0;0;0;0;2;4;1;0;5;0;0;6;5;7;8;20;0;0;0;2;12;0;0;0;0;2;3;5;0;3;3;3;51;36
L027-153;Q4;L027-153;2.68125;2.4087500000000004;1.9692592857142848;1.6744571428571435;1.5257142857142856;-1;1.0;1.0;0.5;0.5;0.5;0.0714285714285714;43;12;43;42;12;14;45;11;1;2;44;20;6;0;8;8;6;0;13;25;0;8;1;0;0;0;4;2;0;2;2;0;3;0;3;19;0;0;0;3;4;1;0;1;0;2;4;2;0;2;0;2;36;20;0;0;1;5;4;2;3;1;1;3;0;1;0;0;0;12;0;6;0;8;14;0;0;0;0;14;6;6;0;21;0;0;0;13;0;21;0;0;3;0;6;21;0;0;2;8;11;47;25;37;0;3;1;8;0;2;9;23;2;0;0;2;4;0;2;1;3;9;0;5;14;1;1;0;0;2;0;0;2;6;3;18;27;6;6;5;0;5;1;1;1;0;0;15;5;0;10;30;20;70;21
